id,agent_id,role_id,first_name,last_name,email,password_hash,is_active,created_at,updated_at
468a52f5-8495-4a4e-82a5-8056aeed8c0a,2bb484ca-8c9c-4e12-99c8-80d4f1688567,a1b26ad0-6367-41ff-a952-85c54046fa5d,Zeynep,Aydın,zeynep.aydin0@telekom.com.tr,$2b$10$hd.4x5/U5fiVtRcDKbXZDeeQebFGHR5Yap1KMtxcnDexDHQiWvEDq,True,2026-05-01 13:49:40,2026-06-08 10:58:17
c053d8ab-5b2b-4040-8e8e-fe352375e5df,0ffbb357-5472-4e5d-81d8-fc28fcd81baf,a1b26ad0-6367-41ff-a952-85c54046fa5d,Deniz,Kılıç,deniz.kilic1@telekom.com.tr,$2b$10$En./hO.Kc.GO98oRNUvjxOpslJOB3pDy6wCYfmPBT9joADcAdarp6,True,2022-08-19 07:28:55,2024-09-08 08:51:07
c184372a-3bca-43d2-9bc9-bd73a43204bf,a497c2f2-9376-45bc-991b-9082b67b3df8,a1b26ad0-6367-41ff-a952-85c54046fa5d,Hasan,Arslan,hasan.arslan2@telekom.com.tr,$2a$10$SyntheticSeedDataPlaceholderHashXXXXXXXXXXXXXXXXXXXXXX,True,2025-09-27 16:51:23,2025-10-18 11:02:26
e8a608f5-53da-4d62-b371-28ca11e828c1,80dc66ce-b033-43ec-a65c-12d544656880,a1b26ad0-6367-41ff-a952-85c54046fa5d,Emre,Aslan,emre.aslan3@telekom.com.tr,$2a$10$SyntheticSeedDataPlaceholderHashXXXXXXXXXXXXXXXXXXXXXX,True,2025-04-07 18:32:40,2026-02-05 08:44:30
aae4488f-b289-40ec-a22f-573a6e733809,0435aad7-90c6-42cf-a859-468044cea0b9,a1b26ad0-6367-41ff-a952-85c54046fa5d,Can,Şahin,can.sahin4@telekom.com.tr,$2a$10$SyntheticSeedDataPlaceholderHashXXXXXXXXXXXXXXXXXXXXXX,True,2023-05-29 20:48:48,2025-03-17 02:12:55
45491561-a2cc-47f8-81a7-936a3d08bac0,22ccb3ba-380d-4cf9-bc7d-46cf633e5a04,a1b26ad0-6367-41ff-a952-85c54046fa5d,Onur,Özdemir,onur.ozdemir5@telekom.com.tr,$2a$10$SyntheticSeedDataPlaceholderHashXXXXXXXXXXXXXXXXXXXXXX,True,2022-10-29 12:02:48,2025-10-17 07:22:50
a9ce610f-9c10-444b-9b18-f67032efc150,49248f73-86aa-4fed-8778-a97753d19a22,a1b26ad0-6367-41ff-a952-85c54046fa5d,Deniz,Demir,deniz.demir6@telekom.com.tr,$2a$10$SyntheticSeedDataPlaceholderHashXXXXXXXXXXXXXXXXXXXXXX,True,2022-11-16 23:32:39,2023-03-06 20:53:06
81056114-afae-45c5-b807-fdca944412dd,e3bcc92b-02db-4772-b09a-d69d00d93905,a1b26ad0-6367-41ff-a952-85c54046fa5d,Seda,Polat,seda.polat7@telekom.com.tr,$2a$10$SyntheticSeedDataPlaceholderHashXXXXXXXXXXXXXXXXXXXXXX,True,2023-08-10 21:06:42,2024-07-19 06:45:42
1bf74b6c-22a0-42dc-938a-64e033b006b0,eef4de11-2593-41ef-8fb2-125d120350b4,a1b26ad0-6367-41ff-a952-85c54046fa5d,Aylin,Aslan,aylin.aslan8@telekom.com.tr,$2a$10$SyntheticSeedDataPlaceholderHashXXXXXXXXXXXXXXXXXXXXXX,True,2024-09-14 07:54:41,2025-09-04 10:25:43
a7e59134-180b-426e-9ec2-af138d3b4936,fdbef44d-4160-43ae-87b1-ee90c6bc6b0a,a1b26ad0-6367-41ff-a952-85c54046fa5d,Kerem,Kaya,kerem.kaya9@telekom.com.tr,$2a$10$SyntheticSeedDataPlaceholderHashXXXXXXXXXXXXXXXXXXXXXX,True,2023-10-06 13:59:58,2024-02-15 19:31:47
